Year,Month,Hraban's Age,Liutprand's Age,Plot Points,Historical Events,Scene Type,Notes
949,June,11,29,Departure from Pavia; First sight of Constantinople from sea; Magnaura throne room with mechanical birds and rising throne; Meeting Constantine VII,Constantine VII reign (scholar-emperor); Byzantine empire at relative peace,Core Scene,"Arrival sequence - overwhelming spectacle seduction begins"
949,September,11,29,Decision to stay behind in Constantinople; Liutprand departs; Hraban's first night alone in palace,Empire at height of cultural sophistication,Core Scene,"Plot pivot - moment that changes everything"
949,October-December,11,29,First winter - integration begins; assigned palace quarters; Greek lessons commence; meets Theophylact the Logothete,Byzantine cultural/administrative routines established,Episodic,"Systematic acculturation - learning machinery beneath magic"
950,March,11,29,Finding his place - meets young Theophanu in kitchens (~5 yrs old); develops palace relationships,Ongoing palace education and hierarchy absorption,Episodic,"Establishing relationships - Theophanu connection planted early"
950,June-September,12,30,Constantine's library work begins - becomes Constantine VII's manuscript copyist; works on De Administrando Imperio; first conversations about "What is Rome?",Constantine VII's scholarly works on empire continuity,Core Scene,"Intellectual seduction - earning nickname PhilomathÃ¨s (Knowledge-Lover)"
951,January-December,12,30,Coming of age montage - deepening Greek fluency; court protocol mastery; physical/intellectual maturation; first romantic/sexual experiences?,Growing competence as translator and palace functionary,Episodic,"Adolescent transformation - linguistic and cultural shift begins"
952,January-December,13,31,Continued formative work - testing identity; witnessing ceremonies; understanding symbolic layers; career advancement,Empire under Constantine VII - stable scholarly reign,Episodic,"Belonging deepens - first awareness of choice/internal conflict"
953,January-December,14,32,Dreams in Greek; thinks in Greek unconsciously; Hraban realizes language preference shifting; defends Byzantine practices,Constantine VII continues scholarly approach,Episodic,"Identity markers - conscious and unconscious transformation"
954,January-December,15,33,Testing Romanness in small ways; adopting Byzantine customs; wearing gestures like borrowed clothes; uncertainty about fit,Constantine VII's reign - empire sophisticated and stable,Episodic,"Identity testing - trying on empire like new garments"
955,January-September,16,34,THE VAULT SCENE - THE WEIGHT OF PURPLE: Summoned by Theophylact; descends to ancient counting-house vault beneath Great Palace; interrogation by Brother Domenico Calabrian prisoner; "What makes a Roman?" question posed and unanswerable; philosophical crisis; ascent with new understanding; realizes he's been thinking in Greek,Calabrian campaigns; Arab-Byzantine cultural exchange; intellectual prisoners in Constantinople,Core Scene,"Philosophical center of novel - identity crisis & central question posed"
955,September-December,17,35,Walking city in confusion - aftermath of vault encounter; counting things obsessively; night vigil; grappling with unanswerable question; understanding that Rome is choice not blood,Crisis aftermath - internal processing,Episodic,"Integration of crisis - life continues despite revelation"
956,January-December,17,35,Aftermath & adolescence continues - how crisis changes him; trying harder to be Roman? Resisting? Testing himself? Relationships shift? Career developments?,Court culture shifting - Romanos II young and pleasure-loving,Episodic,"Living with the question - adolescence conclusion"
957,January-December,18,36,Palace evolution under Romanos II - different cultural tone than Constantine's scholarship; Theophano the Elder's power rising; Hraban adapts again,Romanos II young emperor; pleasure court emerges,Episodic,"Regime transition begins - adaptability demonstrated"
958,January-December,19,37,Maturation and network-building continue; position solidifying; becoming known as reliable translator and cultural interpreter; code-switching between languages and cultures perfected,Romanos II's reign - different aesthetic than Constantine,Episodic,"Mastery phase - competence across contexts"
959,March,20,38,Constantine VII dies - first great patron gone; regime change; Hraban's position secure despite transition,Constantine VII's death; Romanos II takes throne; Theophano the Elder becomes powerful,Episodic Scene,"Death of patron - but survival assured; continuity within change"
959,April-December,20,38,New court under Romanos II - different energy and culture; Theophano's power; Byzantine hierarchy adapts; Hraban observes and survives,New regime establishing - youth and hedonism vs. scholarship,Episodic,"New stability under different order"
960,January-December,21,39,Battle of Andrassos - news reaches Constantinople; Sayf al-Dawla defeated by Leo Phokas; military intelligence flows through palace; Hraban translating dispatches?,Military action accelerating - Nikephoros Phokas faction rising,Episodic Scene,"Military reality intruding on palace life"
961,January-December,22,40,Continued court service under Romanos II; building diplomatic skills; preparing for larger role; relationship with power becoming clearer,Romanos II's reign - pleasure and culture; tensions with military faction,Episodic,"Career advancement - diplomatic foundations laid"
962,November,23,41,Abu Firas captured - Arab poet-prince arrives as Byzantine prisoner; Hraban possibly involved in initial interrogations; witnessing parallel displacement and captivity,Abu Firas al-Hamdani arrives in captivity; begins composing RÅ«miyyÄt poems,Episodic Scene,"Cultural exchange through captivity - mirror to Hraban's displacement"
962-966,Ongoing,23-27,41-45,Muslim prisoners' Christmas feast - Nikephoros's unexpected courtesy and sophistication; Abu Firas and noble Arabs honored; dietary laws respected; cultural recognition across war,Byzantine-Arab military pauses; cultural diplomacy,Core Scene,"Unexpected humanity in empire - both sides as civilized"
963,March 15,25,42,Romanos II dies mysteriously - age 26; poisoning whispers; Theophano the Elder under suspicion; power vacuum; messengers summon Nikephoros Phokas; first sense that empire is contested,Romanos II's mysterious death; succession crisis begins,Episodic Scene,"Palace in crisis - seeing power's true nature"
963,August 14,25,42,Nikephoros Phokas enters Constantinople - street fighting in the Mese; carries Romanos letters for legitimacy; blood and legitimacy intertwined; "White Death of Saracens" arrives; military coup succeeds,Nikephoros II Phokas coup; beginning of military expansion era,Core Scene,"Military power seizes throne - force and theater combined"
963,September 20,25,42,Nikephoros marries Theophano - controversial in Hagia Sophia; Patriarch Polyeuktos reluctant (third marriage); Nikephoros wears both monastic rason and purple; theological contradiction; Theophano's face reveals nothing,Political consolidation through marriage; Theophano's continued power,Core Scene,"Legitimacy through marriage - power theater"
963,October-December,25,42,New court under Nikephoros - austere military regime begins; hair-shirt piety; harsh taxation for campaigns; different culture than Constantine's sophistication; Hraban's role shifts to military-administrative functions,Nikephoros's military/ascetic regime established,Episodic,"Living under austerity - adaptation to new paradigm"
964,January-December,26,43,Living under Nikephoros's austere court - witnessing his piety and discipline; palace atmosphere transformed; different style of power projection; Hraban as translator of military intelligence,Nikephoros II aggressive military reign; campaigns ongoing,Episodic,"Military empire - different from scholarly or pleasure regimes"
965,January,26,43,Greek Fire at Sea - naval battle with Fatimids; news reaches Constantinople; terror weapon demonstrates Byzantine technological superiority; Hraban translating accounts?,Byzantine naval superiority demonstrated,Episodic Scene,"Military marvel - instrument of power"
965,May,26,43,Tarsus Falls - Cilicia reconquered after centuries; greatest triumph of Nikephoros; church bells ring; formerly Arab cities now Byzantine; empire at peak,Nikephoros's greatest triumph; Byzantine expansion reaches maximum,Episodic Scene,"Empire seems ascendant - military victory complete"
966,June,27,45,Great Prisoner Exchange at Samosata - thousands cross Euphrates; Abu Firas released; his RÅ«miyyÄt poems now sung in both lands; another cultural exchange through captivity; boundaries permeable despite war,Diplomatic solution after military victories; cultural transmission continues,Episodic Scene,"Poetry and culture travel what borders cannot hold"
968,June 4,30,47,Liutprand's second embassy arrives - Hraban's first encounter with old patron in many years; Liutprand kept waiting in rain; lodged in waterless house (humiliation); reunion complicated by transformation,Liutprand's second embassy to Nikephoros II (historical embassy); diplomatic mission for Otto II,Core Scene,"Past returns - seeing through which lens?"
968,June 7,30,47,Pentecost Audience - The Clash - title dispute "Rex" vs. "Basileus"; papal letter calls Nikephoros "Emperor of the Greeks" (ultimate insult); Nikephoros's rage: "Where was Otto when we defended civilization?"; Hraban translating encounter; two worldviews irreconcilable,Liutprand's documented embassy; title dispute historical,Core Scene,"Vault question answered in violence not philosophy - East vs. West collision"
968,June-July,30,47,Purple Silk Incident - Liutprand tries to buy purple silk; guards confiscate (imperial monopoly); Liutprand: "At home whores wear purple!"; Hraban witnessing or involved in confiscation; symbolic weight of purple,Imperial purple monopoly - symbol of Romanness,Core Scene,"Purple as visible manifestation of empire's claims"
968,July,30,47,Liutprand's Departure - brief or extended meeting between Hraban and old patron; painful recognition of transformation; Liutprand's assessment: "traitor?"; Hraban's response: explanation or silence; bridges burned; Western identity shed; fully choosing East,End of diplomatic mission; final break with West,Core Scene,"Severance - no return possible"
969,December 1-9,31,48,Rumors & Tension in palace - Nikephoros's austere piety making enemies; conspirators gathering; Theophano and John Tzimiskes moving toward each other; palace whispers in minor key; Hraban sensing something but not understanding,Assassination plot building - historical event December 969,Episodic Scene,"Building dread - knowing something but not what"
969,December 10-11,31,48,THE ASSASSINATION NIGHT - Nikephoros murdered - rumors all day; tension rises; Theophano leaves doors unbolted ("forgets"); conspirators hide in gynaikonitis in women's clothes; Nikephoros sleeps before icons (piety becomes vulnerability); John Tzimiskes leads murder: "Tell me tyrant wasn't it through me?"; swords flash; teeth scatter; Hraban somewhere in palace - witness or deniability?; morning - head displayed from window; Theophano expects marriage (thwarted by Patriarch),Murder of Nikephoros II Phokas December 10 969; John I Tzimiskes becomes emperor; Patriarch Polyeuktos refuses Theophano marriage,Core Scene,"Philosophy becomes action - violence as Rome's answer to the question"
969,December 11,31,48,Aftermath & Choosing Sides - John Tzimiskes crowned; Hraban retained in service (survival/pragmatism); fully Roman in thinking now; violence at heart of empire accepted; question answered by history not philosophy,New emperor takes throne; new regime established,Episodic Scene,"Pragmatism of survival - choosing East completely"
970,January-December,31,49,John Tzimiskes's reign begins - consolidation and new direction; Hraban's role secure despite change (adaptability proven); his full transformation complete; what work does he do? What languages? For whom?,John Tzimiskes establishes regime; military campaigns continue,Episodic,"New emperor's court - same pattern of adaptation"
971,January-May,32,50,John Tzimiskes meets Sviatoslav - after crushing Rus at Dorostolon; Byzantine emperor in golden armor on charger; Sviatoslav rows his own boat (independence statement); negotiation in Greek; rough Rus prince vs. Byzantine splendor; cultural contrasts multiplied; Hraban translating? observing?,Battle of Dorostolon 971; John Tzimiskes's military success,Episodic Scene,"Cultural theater - empire's way of handling difference"
